case_name,repetition,experiment_type,prompt_tokens,output_tokens,ttft_ms,total_latency_ms,decode_latency_ms,tpot_ms,decode_tokens_per_second,approximate_prefill_tokens_per_second,run_id,timestamp_utc,backend_name,process_rss_mb,process_memory_delta_mb,process_cpu_percent,param_target_prompt_tokens,param_actual_prompt_tokens,backend_backend,backend_runtime,backend_model_name,backend_device,backend_num_threads,backend_compile_model,backend_use_kv_cache,backend_attention_backend,backend_flash_attention,backend_torch_version,generation_use_kv_cache,generation_attention_backend,generation_flash_attention,generation_eos_reached
prompt_length_32,1,prompt_length,32,16,8.141300000716,80.76609997078776,72.62479997007176,4.841653331338118,206.54101637706967,3930.5761975588302,319bff77-0fe8-40a4-95f6-d22eea2c23f0,2026-08-20T17:39:07.922728+00:00,PyTorchBackend,378.33984375,5.95703125,480.8,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_32,2,prompt_length,32,16,6.293399957939982,76.57449995167553,70.28109999373555,4.685406666249037,213.4286458427232,5084.691933432204,319bff77-0fe8-40a4-95f6-d22eea2c23f0,2026-08-20T17:39:08.001015+00:00,PyTorchBackend,378.36328125,0.0234375,580.9,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_32,3,prompt_length,32,16,5.913299974054098,79.27269994979724,73.35939997574314,4.890626665049543,204.4727738362073,5411.5299647247775,319bff77-0fe8-40a4-95f6-d22eea2c23f0,2026-08-20T17:39:08.082182+00:00,PyTorchBackend,378.3828125,0.01953125,398.9,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,1,prompt_length,64,16,6.487300037406385,78.22460000170395,71.73729996429756,4.7824866642865045,209.0962443173251,9865.42932051392,319bff77-0fe8-40a4-95f6-d22eea2c23f0,2026-08-20T17:39:08.254542+00:00,PyTorchBackend,384.61328125,0.015625,487.2,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,2,prompt_length,64,16,6.49679999332875,80.16189996851608,73.66509997518733,4.911006665012489,203.6242400411112,9851.003581104314,319bff77-0fe8-40a4-95f6-d22eea2c23f0,2026-08-20T17:39:08.336274+00:00,PyTorchBackend,384.6328125,0.01953125,672.5,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,3,prompt_length,64,16,6.677199969999492,83.60489999176934,76.92770002176985,5.128513334784657,194.98828114911967,9584.855970698878,319bff77-0fe8-40a4-95f6-d22eea2c23f0,2026-08-20T17:39:08.423316+00:00,PyTorchBackend,384.65234375,0.01953125,440.7,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,1,prompt_length,128,16,15.714500041212887,85.89170000050217,70.17719995928928,4.678479997285952,213.74463513365734,8145.343451227012,319bff77-0fe8-40a4-95f6-d22eea2c23f0,2026-08-20T17:39:08.622570+00:00,PyTorchBackend,409.31640625,24.58203125,581.8,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,2,prompt_length,128,16,7.7745000016875565,74.6868000132963,66.91230001160875,4.460820000773917,224.1740307446855,16464.081287827634,319bff77-0fe8-40a4-95f6-d22eea2c23f0,2026-08-20T17:39:08.700465+00:00,PyTorchBackend,409.31640625,0.0,560.9,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,3,prompt_length,128,16,8.53570003528148,87.78390003135428,79.2481999960728,5.28321333307152,189.27874703454887,14995.840935239588,319bff77-0fe8-40a4-95f6-d22eea2c23f0,2026-08-20T17:39:08.790975+00:00,PyTorchBackend,384.796875,-24.51953125,698.1,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_32,1,prompt_length,32,16,8.29860003432259,102.42270003072917,94.12409999640658,6.274939999760439,159.36407360678785,3856.072092599911,db309e98-da83-4c56-8105-290c7d08f95c,2026-08-20T17:39:10.182840+00:00,PyTorchBackend,378.71875,0.015625,473.1,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,eager,False,2.13.0+cpu,True,eager,False,False
