case_name,repetition,experiment_type,prompt_tokens,output_tokens,ttft_ms,total_latency_ms,decode_latency_ms,tpot_ms,decode_tokens_per_second,approximate_prefill_tokens_per_second,run_id,timestamp_utc,backend_name,process_rss_mb,process_memory_delta_mb,process_cpu_percent,param_prompt_tokens,param_target_output_tokens,backend_backend,backend_runtime,backend_model_name,backend_device,backend_num_threads,backend_compile_model,backend_use_kv_cache,backend_attention_backend,backend_flash_attention,backend_torch_version,generation_use_kv_cache,generation_attention_backend,generation_flash_attention,generation_eos_reached
output_length_8,1,output_length,128,8,11.564899992663413,36.23570001218468,24.670800019521266,3.5244000027887523,283.7362385679066,11067.97292507511,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:35.088014+00:00,PyTorchBackend,390.94921875,24.59375,930.9,128,8,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_8,2,output_length,128,8,5.6440000189468265,28.057500021532178,22.41350000258535,3.2019285717979074,312.3117763487436,22678.951022378784,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:35.118634+00:00,PyTorchBackend,390.953125,0.00390625,1108.9,128,8,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_8,3,output_length,128,8,5.392200022470206,26.201600034255534,20.80940001178533,2.972771430255047,336.3864405526145,23737.99181532629,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:35.146009+00:00,PyTorchBackend,390.96875,0.015625,705.6,128,8,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_16,1,output_length,128,16,4.578499996569008,47.628499974962324,43.049999978393316,2.8699999985595546,348.4320559240061,27956.754416494357,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:35.249025+00:00,PyTorchBackend,391.015625,0.0234375,498.7,128,16,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_16,2,output_length,128,16,4.838500055484474,49.60430000210181,44.765799946617335,2.984386663107822,335.07722453049684,26454.47939075894,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:35.301296+00:00,PyTorchBackend,366.46484375,-24.55078125,907.3,128,16,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_16,3,output_length,128,16,9.00810002349317,47.78130003251135,38.77320000901818,2.584880000601212,386.8651541918433,14209.43369480527,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:35.350606+00:00,PyTorchBackend,391.0625,24.59765625,1396.3,128,16,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_32,1,output_length,128,32,4.981599980965257,82.51320000272244,77.53160002175719,2.501019355540554,399.83696958789284,25694.556064133867,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:35.523346+00:00,PyTorchBackend,391.26171875,0.15234375,997.3,128,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_32,2,output_length,128,32,4.599799984134734,86.87649999046698,82.27670000633225,2.6540870969784596,376.77738652150794,27827.29693497271,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:35.613602+00:00,PyTorchBackend,366.765625,-24.49609375,914.2,128,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_32,3,output_length,128,32,9.570100053679198,85.42250003665686,75.85239998297766,2.446851612354118,408.688452929068,13374.990781918812,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:35.700445+00:00,PyTorchBackend,391.34765625,24.58203125,1342.1,128,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_64,1,output_length,128,64,4.149099986534566,167.5297999754548,163.38069998892024,2.5933444442685754,385.6024610267454,30850.063969393243,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:35.995893+00:00,PyTorchBackend,367.1015625,-24.57421875,1062.9,128,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_64,2,output_length,128,64,9.347899991553277,154.75679998053238,145.4088999889791,2.308077777602843,433.26096273869706,13692.914998626458,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:36.152953+00:00,PyTorchBackend,391.68359375,24.58203125,1111.8,128,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
output_length_64,3,output_length,128,64,5.806099972687662,142.81310001388192,137.00700004119426,2.1747142863681628,459.8305194702287,22045.779542571054,f6fcd008-fab9-4f57-acbc-0343bc99a924,2026-08-20T17:33:36.297937+00:00,PyTorchBackend,367.1015625,-24.58203125,820.0,128,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
