case_name,repetition,experiment_type,prompt_tokens,output_tokens,ttft_ms,total_latency_ms,decode_latency_ms,tpot_ms,decode_tokens_per_second,approximate_prefill_tokens_per_second,run_id,timestamp_utc,backend_name,process_rss_mb,process_memory_delta_mb,process_cpu_percent,param_target_prompt_tokens,param_actual_prompt_tokens,backend_backend,backend_runtime,backend_model_name,backend_device,backend_num_threads,backend_compile_model,backend_use_kv_cache,backend_attention_backend,backend_flash_attention,backend_torch_version,generation_use_kv_cache,generation_attention_backend,generation_flash_attention,generation_eos_reached
prompt_length_32,1,prompt_length,32,16,5.282500002067536,42.41569997975603,37.13319997768849,2.4755466651792326,403.95118139596804,6057.737811164298,c258025c-7eb9-48df-a74e-8d9942996b7c,2026-08-20T17:42:01.495433+00:00,PyTorchBackend,378.94140625,5.95703125,964.1,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_32,2,prompt_length,32,16,3.1082999776117504,41.43719997955486,38.32890000194311,2.555260000129541,391.3496082392024,10295.016642694529,c258025c-7eb9-48df-a74e-8d9942996b7c,2026-08-20T17:42:01.538450+00:00,PyTorchBackend,378.97265625,0.03125,1196.8,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_32,3,prompt_length,32,16,4.09070000750944,45.14140001265332,41.05070000514388,2.7367133336762586,365.40180796235916,7822.622030766492,c258025c-7eb9-48df-a74e-8d9942996b7c,2026-08-20T17:42:01.586212+00:00,PyTorchBackend,378.99609375,0.0234375,1130.3,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,1,prompt_length,64,16,4.88179997773841,57.919699989724904,53.037900011986494,3.5358600007990995,282.8166272912393,13109.918532477288,c258025c-7eb9-48df-a74e-8d9942996b7c,2026-08-20T17:42:01.701092+00:00,PyTorchBackend,385.22265625,0.015625,917.7,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,2,prompt_length,64,16,5.623800039757043,61.85900000855327,56.23519996879622,3.7490133312530816,266.7368482431501,11380.205474511306,c258025c-7eb9-48df-a74e-8d9942996b7c,2026-08-20T17:42:01.765267+00:00,PyTorchBackend,385.2421875,0.01953125,554.4,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,3,prompt_length,64,16,5.564199993386865,49.97639998327941,44.41219998989254,2.960813332659503,337.7450340990481,11502.102741825413,c258025c-7eb9-48df-a74e-8d9942996b7c,2026-08-20T17:42:01.816405+00:00,PyTorchBackend,385.265625,0.0234375,768.8,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,1,prompt_length,128,16,10.884499992243946,48.61920000985265,37.7347000176087,2.51564666784058,397.5121040580772,11759.841985503237,c258025c-7eb9-48df-a74e-8d9942996b7c,2026-08-20T17:42:01.949198+00:00,PyTorchBackend,409.90234375,24.609375,864.4,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,2,prompt_length,128,16,4.531300044618547,46.315800049342215,41.78450000472367,2.7856333336482444,358.9847909704382,28247.96388224503,c258025c-7eb9-48df-a74e-8d9942996b7c,2026-08-20T17:42:01.999551+00:00,PyTorchBackend,409.92578125,0.0234375,964.1,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,3,prompt_length,128,16,5.152700003236532,46.85719998087734,41.70449997764081,2.780299998509387,359.6734167306168,24841.345298503733,c258025c-7eb9-48df-a74e-8d9942996b7c,2026-08-20T17:42:02.048909+00:00,PyTorchBackend,409.94140625,0.015625,1130.3,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_256,1,prompt_length,256,16,14.855700021144003,57.68299999181181,42.82729997066781,2.855153331377854,350.2438867328415,17232.44274154952,c258025c-7eb9-48df-a74e-8d9942996b7c,2026-08-20T17:42:02.202919+00:00,PyTorchBackend,434.59375,49.1640625,992.1,256,256,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,12,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
