case_name,repetition,experiment_type,prompt_tokens,output_tokens,ttft_ms,total_latency_ms,decode_latency_ms,tpot_ms,decode_tokens_per_second,approximate_prefill_tokens_per_second,run_id,timestamp_utc,backend_name,process_rss_mb,process_memory_delta_mb,process_cpu_percent,param_target_prompt_tokens,param_actual_prompt_tokens,backend_backend,backend_runtime,backend_model_name,backend_device,backend_num_threads,backend_compile_model,backend_use_kv_cache,backend_attention_backend,backend_flash_attention,backend_torch_version,generation_use_kv_cache,generation_attention_backend,generation_flash_attention,generation_eos_reached
prompt_length_32,1,prompt_length,32,16,9.950099978595972,54.302799981087446,44.352700002491474,2.956846666832765,338.1981254615252,3216.0480868369546,284b8c89-2b93-4cd9-9cd1-30bb7ca69019,2026-08-20T17:43:19.385233+00:00,PyTorchBackend,376.99609375,5.9609375,100.8,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,1,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_32,2,prompt_length,32,16,4.761299991514534,47.35379997873679,42.592499987222254,2.8394999991481504,352.1746787462581,6720.853560378379,284b8c89-2b93-4cd9-9cd1-30bb7ca69019,2026-08-20T17:43:19.433460+00:00,PyTorchBackend,377.01953125,0.0234375,99.7,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,1,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_32,3,prompt_length,32,16,4.253400024026632,46.21310002403334,41.959700000006706,2.7973133333337805,357.4858733498477,7523.39300776748,284b8c89-2b93-4cd9-9cd1-30bb7ca69019,2026-08-20T17:43:19.483342+00:00,PyTorchBackend,377.0390625,0.01953125,66.5,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,1,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,1,prompt_length,64,16,4.29209996946156,43.497499951627105,39.205399982165545,2.61369333214437,382.60035624744216,14911.115876927894,284b8c89-2b93-4cd9-9cd1-30bb7ca69019,2026-08-20T17:43:19.585934+00:00,PyTorchBackend,383.3515625,0.015625,66.5,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,1,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,2,prompt_length,64,16,7.002400001510978,48.44760004198179,41.44520004047081,2.763013336031387,361.9236964799942,9139.723521391248,284b8c89-2b93-4cd9-9cd1-30bb7ca69019,2026-08-20T17:43:19.638065+00:00,PyTorchBackend,383.375,0.0234375,101.9,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,1,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,3,prompt_length,64,16,5.008599953725934,42.75159997632727,37.743000022601336,2.5162000015067556,397.42468778363326,12778.021920554851,284b8c89-2b93-4cd9-9cd1-30bb7ca69019,2026-08-20T17:43:19.678192+00:00,PyTorchBackend,383.40234375,0.02734375,99.7,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,1,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,1,prompt_length,128,16,18.030599982012063,54.95670001255348,36.92610003054142,2.4617400020360947,406.21674066835016,7099.042745537981,284b8c89-2b93-4cd9-9cd1-30bb7ca69019,2026-08-20T17:43:19.816519+00:00,PyTorchBackend,391.2109375,24.62109375,24.8,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,1,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,2,prompt_length,128,16,5.95459999749437,45.06179998861626,39.10719999112189,2.6071466660747924,383.56108346814136,21495.98630535401,284b8c89-2b93-4cd9-9cd1-30bb7ca69019,2026-08-20T17:43:19.865234+00:00,PyTorchBackend,391.234375,0.0234375,99.7,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,1,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,3,prompt_length,128,16,5.0749999936670065,45.00859999097884,39.93359999731183,2.662239999820789,375.6235350934987,25221.674908320925,284b8c89-2b93-4cd9-9cd1-30bb7ca69019,2026-08-20T17:43:19.906722+00:00,PyTorchBackend,391.25,0.015625,151.2,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,1,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_32,1,prompt_length,32,16,3.3856999943964183,61.16089998977259,57.77519999537617,3.851679999691745,259.62696799319554,9451.516688709084,37f52da4-b080-4b99-9b8a-c4310317fc8e,2026-08-20T17:43:21.025146+00:00,PyTorchBackend,401.78515625,0.01171875,151.2,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,2,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_32,2,prompt_length,32,16,3.6214000429026783,52.39210004219785,48.770699999295175,3.2513799999530115,307.5617122620093,8836.361523415371,37f52da4-b080-4b99-9b8a-c4310317fc8e,2026-08-20T17:43:21.079841+00:00,PyTorchBackend,401.796875,0.01171875,199.5,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,2,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_32,3,prompt_length,32,16,3.445100039243698,56.042500014882535,52.59739997563884,3.506493331709256,285.1851994004921,9288.554653125531,37f52da4-b080-4b99-9b8a-c4310317fc8e,2026-08-20T17:43:21.138049+00:00,PyTorchBackend,401.7421875,-0.0546875,201.6,32,32,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,2,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,1,prompt_length,64,16,4.049399984069169,42.00010001659393,37.950700032524765,2.5300466688349843,395.2496261503635,15804.81065140114,37f52da4-b080-4b99-9b8a-c4310317fc8e,2026-08-20T17:43:21.236975+00:00,PyTorchBackend,407.859375,0.01171875,302.4,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,2,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,2,prompt_length,64,16,4.905200039502233,42.74640005314723,37.84120001364499,2.522746667576333,396.3933489051937,13047.37818735208,37f52da4-b080-4b99-9b8a-c4310317fc8e,2026-08-20T17:43:21.282403+00:00,PyTorchBackend,407.8671875,0.0078125,302.4,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,2,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_64,3,prompt_length,64,16,3.6288999835960567,44.2946000257507,40.66570004215464,2.711046669476976,368.86122664680033,17636.19837672661,37f52da4-b080-4b99-9b8a-c4310317fc8e,2026-08-20T17:43:21.329243+00:00,PyTorchBackend,407.87109375,0.00390625,199.5,64,64,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,2,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,1,prompt_length,128,16,16.535200004000217,56.25650001456961,39.721300010569394,2.648086667371293,377.6311449023236,7741.061491184508,37f52da4-b080-4b99-9b8a-c4310317fc8e,2026-08-20T17:43:21.439998+00:00,PyTorchBackend,396.078125,24.58203125,199.5,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,2,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
prompt_length_128,2,prompt_length,128,16,5.621600023005158,42.84190002363175,37.220300000626594,2.481353333375106,403.00588656586535,22769.31825035368,37f52da4-b080-4b99-9b8a-c4310317fc8e,2026-08-20T17:43:21.486886+00:00,PyTorchBackend,396.078125,0.0,302.4,128,128,PyTorchBackend,pytorch-transformers,sshleifer/tiny-gpt2,cpu,2,False,True,torch_default,False,2.13.0+cpu,True,torch_default,False,False
